화약,뇌관,암석분류,암종,심발,SR SD,CR SD,최대입자속도
정밀폭약,전자,화성암,화강암,Cylinder-cut,106.01,81.41,0.10300000000000001
정밀폭약,전자,화성암,화강암,Cylinder-cut,132.52,101.76,0.06
정밀폭약,전자,화성암,화강암,Cylinder-cut,161.23,123.81,0.084
정밀폭약,전자,화성암,화강암,Cylinder-cut,194.36,149.24,0.005
정밀폭약,전자,화성암,화강암,Cylinder-cut,72.88,55.97,0.114
정밀폭약,전자,화성암,화강암,Cylinder-cut,106.01,81.41,0.013000000000000001
정밀폭약,전자,화성암,화강암,Cylinder-cut,128.1,98.37,0.037000000000000005
정밀폭약,전자,화성암,화강암,Cylinder-cut,150.19,115.33,0.018000000000000002
정밀폭약,전자,화성암,화강암,Cylinder-cut,172.27,132.28,0.006
정밀폭약,전자,화성암,화강암,Cylinder-cut,194.36,149.24,0.005
정밀폭약,전자,화성암,화강암,Cylinder-cut,216.45,166.2,0.006
정밀폭약,전자,화성암,화강암,Cylinder-cut,71.18,57.74,0.064
정밀폭약,전자,화성암,화강암,Cylinder-cut,89.91,72.94,0.033
정밀폭약,전자,화성암,화강암,Cylinder-cut,108.64,88.13,0.028999999999999998
정밀폭약,전자,화성암,화강암,Cylinder-cut,127.38,103.33,0.040999999999999995
정밀폭약,전자,화성암,화강암,Cylinder-cut,146.11,118.53,0.024
정밀폭약,전자,화성암,화강암,Cylinder-cut,164.84,133.72,0.013999999999999999
정밀폭약,전자,화성암,화강암,Cylinder-cut,187.32,151.96,0.013999999999999999
정밀폭약,전자,화성암,화강암,Cylinder-cut,228.53,185.39,0.013000000000000001
정밀폭약,전자,화성암,화강암,Cylinder-cut,192.94,156.51,0.017
정밀폭약,전자,화성암,화강암,Cylinder-cut,80.11,62.48,0.10300000000000001
정밀폭약,전자,화성암,화강암,Cylinder-cut,111.73,87.14,0.040999999999999995
정밀폭약,전자,화성암,화강암,Cylinder-cut,145.46,113.45,0.035
정밀폭약,전자,화성암,화강암,Cylinder-cut,174.98,136.46,0.003
정밀폭약,전자,화성암,화강암,Cylinder-cut,206.6,161.13,0.006
정밀폭약,전자,화성암,화강암,Cylinder-cut,282.5,220.31,0.006
정밀폭약,전자,화성암,화강암,Cylinder-cut,373.15,291.01,0.005
정밀폭약,전자,화성암,화강암,Cylinder-cut,101.19,78.92,0.09
정밀폭약,전자,화성암,화강암,Cylinder-cut,122.27,95.36,0.054000000000000006
정밀폭약,전자,화성암,화강암,Cylinder-cut,164.44,128.24,0.040999999999999995
정밀폭약,전자,화성암,화강암,Cylinder-cut,185.52,144.68,0.032
정밀폭약,전자,화성암,화강암,Cylinder-cut,206.6,161.13,0.037000000000000005
정밀폭약,전자,화성암,화강암,Cylinder-cut,65.35,50.97,0.076
정밀폭약,전자,화성암,화강암,Cylinder-cut,75.89,59.19,0.10800000000000001
정밀폭약,전자,화성암,화강암,Cylinder-cut,101.19,78.92,0.037000000000000005
정밀폭약,전자,화성암,화강암,Cylinder-cut,122.27,95.36,0.054000000000000006
정밀폭약,전자,화성암,화강암,Cylinder-cut,164.44,128.24,0.040999999999999995
정밀폭약,전자,화성암,화강암,Cylinder-cut,185.52,144.68,0.044000000000000004
정밀폭약,전자,화성암,화강암,Cylinder-cut,51.89,43.56,0.184
정밀폭약,전자,화성암,화강암,Cylinder-cut,57.13,47.96,0.14400000000000002
정밀폭약,전자,화성암,화강암,Cylinder-cut,76.4,64.14,0.111
정밀폭약,전자,화성암,화강암,Cylinder-cut,83.16,69.81,0.113
정밀폭약,전자,화성암,화강암,Cylinder-cut,90.43,75.92,0.092
정밀폭약,전자,화성암,화강암,Cylinder-cut,97.87,82.16,0.076
정밀폭약,전자,화성암,화강암,Cylinder-cut,105.14,88.26,0.087
정밀폭약,전자,화성암,화강암,Cylinder-cut,112.91,94.79,0.073
정밀폭약,전자,화성암,화강암,Cylinder-cut,61.84,47.49,0.16699999999999998
정밀폭약,전자,화성암,화강암,Cylinder-cut,83.93,64.45,0.079
정밀폭약,전자,화성암,화강암,Cylinder-cut,93.2,71.57,0.016
정밀폭약,전자,화성암,화강암,Cylinder-cut,128.1,98.37,0.079
정밀폭약,전자,화성암,화강암,Cylinder-cut,150.19,115.33,0.025
정밀폭약,전자,화성암,화강암,Cylinder-cut,172.27,132.28,0.018000000000000002
정밀폭약,전자,화성암,화강암,Cylinder-cut,194.36,149.24,0.013000000000000001
