뇌관,암석분류,암종,심발,SR SD,CR SD,최대입자속도
전자,화성암,섬록암,선대구경,40.82,34.67,0.37
전자,화성암,섬록암,선대구경,48.99,41.6,0.452
전자,화성암,섬록암,선대구경,58.79,49.92,0.187
전자,화성암,섬록암,선대구경,45.72,38.83,0.384
전자,화성암,섬록암,선대구경,70.22,59.63,0.31
전자,화성암,섬록암,선대구경,238.42,202.46,0.016
전자,화성암,섬록암,선대구경,181.26,153.93,0.022000000000000002
전자,화성암,섬록암,선대구경,75.12,63.79,0.264
전자,화성암,섬록암,선대구경,130.64,110.94,0.038
전자,화성암,섬록암,선대구경,181.26,153.93,0.03
전자,화성암,섬록암,선대구경,207.39,176.11,0.03
전자,화성암,섬록암,선대구경,42.46,36.05,0.452
전자,화성암,섬록암,선대구경,57.15,48.54,0.483
전자,화성암,섬록암,선대구경,63.69,54.08,0.36700000000000005
전자,화성암,섬록암,선대구경,58.79,49.92,0.322
전자,화성암,섬록암,선대구경,215.56,183.05,0.019
전자,화성암,섬록암,선대구경,209.02,177.5,0.024
전자,화성암,섬록암,선대구경,102.88,87.36,0.067
전자,화성암,섬록암,선대구경,143.7,122.03,0.055999999999999994
전자,화성암,섬록암,선대구경,164.93,140.06,0.039
전자,화성암,섬록암,선대구경,136.94,105.15,0.018000000000000002
전자,화성암,섬록암,선대구경,79.51,61.05,0.095
전자,화성암,섬록암,선대구경,92.76,71.23,0.065
전자,화성암,섬록암,선대구경,75.09,57.66,0.087
전자,화성암,섬록암,선대구경,103.81,79.71,0.07
전자,화성암,섬록암,선대구경,114.85,88.19,0.035
전자,화성암,섬록암,선대구경,132.52,101.76,0.064
전자,화성암,섬록암,선대구경,245.16,188.25,0.022000000000000002
전자,화성암,섬록암,선대구경,256.2,196.73,0.019
전자,화성암,섬록암,선대구경,265.04,203.52,0.013999999999999999
전자,화성암,섬록암,선대구경,99.17,76.15,0.059000000000000004
전자,화성암,섬록암,선대구경,100.27,77.0,0.052000000000000005
전자,화성암,섬록암,선대구경,109.33,83.95,0.075
전자,화성암,섬록암,선대구경,96.08,73.77,0.071
전자,화성암,섬록암,선대구경,104.91,80.56,0.021
전자,화성암,섬록암,선대구경,94.97,72.93,0.025
전자,화성암,섬록암,선대구경,109.11,83.78,0.03
전자,화성암,섬록암,선대구경,143.12,109.9,0.016
전자,화성암,섬록암,선대구경,253.11,194.36,0.013999999999999999
전자,화성암,섬록암,선대구경,100.27,77.0,0.038
전자,화성암,섬록암,선대구경,101.82,78.18,0.049
전자,화성암,섬록암,선대구경,110.65,84.97,0.049
전자,화성암,섬록암,선대구경,96.52,74.11,0.055999999999999994
전자,화성암,섬록암,선대구경,103.36,79.37,0.022000000000000002
전자,화성암,섬록암,선대구경,93.43,71.74,0.019
전자,화성암,섬록암,선대구경,108.0,82.93,0.033
전자,화성암,섬록암,선대구경,141.35,108.54,0.018000000000000002
